,Case,No,Task,segment,year,miles,night,gender,age,educ,region,Urb,income,ppark,Choice,alt,CC,GN,NS,BU,FA,LD,BZ,FC,FP,RP,PP,KA,SC,TS,NV,MA,LB,AF,HU,Price,chid
11.Ch2,1,11,11,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,2,0,2,1,1,1,2,2,0,0,0,0,1,0,2,0,0,0,0,2,6,11
11.Ch3,1,11,11,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,3,0,1,1,2,2,3,3,0,0,0,0,2,0,1,0,0,0,0,1,6,11
11.Ch4,1,11,11,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
12.Ch1,1,12,12,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,1,0,2,2,4,0,3,0,0,4,0,2,0,2,0,0,3,3,0,0,8,12
12.Ch2,1,12,12,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,2,0,1,4,2,0,1,0,0,2,0,1,0,1,0,0,3,4,0,0,8,12
12.Ch3,1,12,12,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,3,0,2,4,6,0,1,0,0,1,0,2,0,1,0,0,4,4,0,0,1,12
12.Ch4,1,12,12,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
13.Ch1,2,20,1,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch2,1,2,0,1,0,1,0,0,0,0,0,1,0,3,1,0,2,2,3,0,1,13
13.Ch2,2,20,1,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch2,2,3,0,4,0,1,0,0,0,0,0,2,0,4,2,0,1,2,1,0,2,13
13.Ch3,2,20,1,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch2,3,1,0,1,0,1,0,0,0,0,0,2,0,4,2,0,2,4,1,0,10,13
13.Ch4,2,20,1,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
14.Ch1,2,21,2,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch1,1,0,1,0,2,0,0,3,1,4,2,2,2,0,0,0,0,0,0,1,1,14
14.Ch2,2,21,2,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch1,2,0,2,0,1,0,0,1,1,3,1,3,1,0,0,0,0,0,0,1,8,14
14.Ch3,2,21,2,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch1,3,0,1,0,4,0,0,3,1,3,1,1,1,0,0,0,0,0,0,2,9,14
14.Ch4,2,21,2,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
15.Ch1,2,22,3,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,1,0,0,1,6,0,3,2,0,1,0,0,0,4,0,1,3,0,1,0,12,15
15.Ch2,2,22,3,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,2,0,0,2,5,0,2,1,0,1,0,0,0,3,0,3,2,0,2,0,5,15
15.Ch3,2,22,3,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,3,0,0,4,6,0,1,3,0,2,0,0,0,3,0,3,2,0,2,0,5,15
15.Ch4,2,22,3,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
16.Ch1,2,23,4,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch3,1,1,1,0,0,2,1,0,0,0,2,0,1,0,2,1,0,0,0,1,4,16
16.Ch2,2,23,4,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch3,2,3,2,0,0,2,1,0,0,0,2,0,2,0,2,1,0,0,0,1,1,16
16.Ch3,2,23,4,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch3,3,2,2,0,0,2,3,0,0,0,1,0,2,0,2,1,0,0,0,2,3,16
16.Ch4,2,23,4,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
17.Ch1,2,24,5,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,1,3,0,1,1,0,0,2,2,4,2,0,0,0,3,0,0,2,0,0,11,17
17.Ch2,2,24,5,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,2,1,0,5,6,0,0,1,1,4,2,0,0,0,3,0,0,2,0,0,3,17
17.Ch3,2,24,5,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,3,3,0,2,3,0,0,2,1,2,2,0,0,0,3,0,0,4,0,0,8,17
17.Ch4,2,24,5,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
18.Ch1,2,25,6,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch3,1,0,2,0,0,1,0,0,2,0,0,1,2,2,0,2,0,4,0,2,5,18
18.Ch2,2,25,6,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch3,2,0,1,0,0,2,0,0,1,0,0,3,2,1,0,2,0,4,0,2,9,18
18.Ch3,2,25,6,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch3,3,0,1,0,0,1,0,0,2,0,0,2,1,4,0,1,0,4,0,1,2,18
18.Ch4,2,25,6,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
19.Ch1,2,26,7,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,1,0,1,0,0,1,1,0,0,4,0,0,0,0,1,0,3,2,2,1,7,19
19.Ch2,2,26,7,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,2,0,2,0,0,2,3,0,0,3,0,0,0,0,1,0,1,4,2,2,4,19
19.Ch3,2,26,7,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,3,0,2,0,0,2,1,0,0,4,0,0,0,0,2,0,4,1,2,2,1,19
19.Ch4,2,26,7,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
20.Ch1,2,27,8,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch1,1,3,0,0,4,0,0,0,1,0,1,2,1,3,0,0,1,0,1,0,4,20
20.Ch2,2,27,8,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch1,2,3,0,0,2,0,0,0,1,0,1,2,1,4,0,0,1,0,2,0,7,20
20.Ch3,2,27,8,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch1,3,3,0,0,1,0,0,0,2,0,2,1,2,2,0,0,2,0,2,0,2,20
20.Ch4,2,27,8,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
21.Ch1,2,28,9,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,1,0,0,5,0,0,3,1,0,2,1,0,1,3,0,1,0,3,0,0,8,21
21.Ch2,2,28,9,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,2,0,0,2,0,0,3,2,0,1,1,0,1,3,0,2,0,1,0,0,8,21
21.Ch3,2,28,9,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,3,0,0,1,0,0,1,1,0,2,2,0,1,4,0,3,0,1,0,0,3,21
21.Ch4,2,28,9,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
22.Ch1,2,29,10,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch3,1,0,0,0,2,1,3,2,1,0,0,3,0,0,3,3,0,0,1,0,11,22
22.Ch2,2,29,10,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch3,2,0,0,0,6,1,2,2,1,0,0,2,0,0,3,3,0,0,3,0,3,22
22.Ch3,2,29,10,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch3,3,0,0,0,6,1,3,1,1,0,0,2,0,0,3,1,0,0,1,0,7,22
22.Ch4,2,29,10,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
23.Ch1,2,30,11,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,1,2,2,2,0,0,0,3,0,0,2,0,0,0,1,0,3,0,1,2,2,23
23.Ch2,2,30,11,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,2,2,2,5,0,0,0,2,0,0,1,0,0,0,3,0,3,0,3,1,8,23
23.Ch3,2,30,11,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,3,3,1,3,0,0,0,2,0,0,2,0,0,0,2,0,1,0,3,2,10,23
23.Ch4,2,30,11,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
24.Ch1,2,31,12,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,1,3,0,2,1,2,0,0,0,2,0,0,2,0,0,3,3,0,0,1,9,24
24.Ch2,2,31,12,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,2,1,0,1,2,2,0,0,0,2,0,0,2,0,0,3,4,0,0,1,6,24
24.Ch3,2,31,12,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,3,1,0,4,6,1,0,0,0,4,0,0,2,0,0,1,3,0,0,2,4,24
24.Ch4,2,31,12,Midsize Utility,2001,375,55,1,35,5,W,2,215000,52,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
25.Ch1,3,39,1,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,1,0,0,5,0,2,2,2,2,0,0,3,1,3,2,0,0,0,0,0,9,25
25.Ch2,3,39,1,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,2,0,0,1,0,1,3,2,1,0,0,1,2,4,2,0,0,0,0,0,7,25
25.Ch3,3,39,1,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,3,0,0,3,0,1,1,3,1,0,0,1,1,2,3,0,0,0,0,0,3,25
25.Ch4,3,39,1,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
26.Ch1,3,40,2,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,1,0,2,0,5,0,0,2,0,4,1,0,0,0,0,1,3,0,1,2,7,26
26.Ch2,3,40,2,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,2,0,2,0,2,0,0,2,0,4,1,0,0,0,0,1,4,0,1,2,12,26
26.Ch3,3,40,2,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,3,0,1,0,1,0,0,1,0,3,1,0,0,0,0,3,1,0,3,2,11,26
26.Ch4,3,40,2,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
27.Ch1,3,41,3,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,1,0,2,0,2,0,2,2,1,2,2,0,0,4,0,0,0,4,0,0,10,27
27.Ch2,3,41,3,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,2,0,2,0,6,0,2,1,1,2,2,0,0,3,0,0,0,1,0,0,10,27
27.Ch3,3,41,3,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,3,0,1,0,1,0,3,1,2,1,1,0,0,1,0,0,0,4,0,0,6,27
27.Ch4,3,41,3,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
28.Ch1,3,42,4,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch3,1,0,0,3,0,2,0,0,0,0,0,0,1,0,2,2,2,3,1,1,2,28
28.Ch2,3,42,4,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch3,2,0,0,3,0,1,0,0,0,0,0,0,1,0,3,1,1,4,2,2,10,28
28.Ch3,3,42,4,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch3,3,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,2,1,3,1,7,28
28.Ch4,3,42,4,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
29.Ch1,3,43,5,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,1,3,0,0,3,2,0,0,1,4,0,2,1,0,0,0,0,2,0,1,4,29
29.Ch2,3,43,5,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,2,3,0,0,2,1,0,0,1,4,0,3,1,0,0,0,0,2,0,2,9,29
29.Ch3,3,43,5,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,3,2,0,0,1,2,0,0,2,3,0,3,1,0,0,0,0,2,0,2,11,29
29.Ch4,3,43,5,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
30.Ch1,3,44,6,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch3,1,3,2,1,0,0,0,0,0,0,1,1,0,3,3,0,4,0,3,0,11,30
30.Ch2,3,44,6,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch3,2,1,1,5,0,0,0,0,0,0,1,1,0,1,2,0,4,0,2,0,8,30
30.Ch3,3,44,6,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch3,3,3,2,4,0,0,0,0,0,0,2,1,0,4,3,0,3,0,1,0,3,30
30.Ch4,3,44,6,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
31.Ch1,3,45,7,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch3,1,0,0,0,0,0,2,3,0,0,0,1,0,3,1,2,2,1,0,2,11,31
31.Ch2,3,45,7,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch3,2,0,0,0,0,0,3,2,0,0,0,2,0,2,3,1,2,4,0,1,8,31
31.Ch3,3,45,7,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch3,3,0,0,0,0,0,3,2,0,0,0,1,0,4,1,2,3,3,0,2,5,31
31.Ch4,3,45,7,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
32.Ch1,3,46,8,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,1,0,0,3,3,2,2,3,2,4,0,0,0,0,0,1,0,0,3,0,7,32
32.Ch2,3,46,8,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,2,0,0,4,5,2,2,2,1,2,0,0,0,0,0,1,0,0,1,0,9,32
32.Ch3,3,46,8,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,3,0,0,5,6,1,1,3,2,3,0,0,0,0,0,2,0,0,2,0,7,32
32.Ch4,3,46,8,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
33.Ch1,3,47,9,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,1,1,1,0,0,0,0,3,2,0,1,2,2,0,0,0,0,0,2,2,2,33
33.Ch2,3,47,9,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,2,2,2,0,0,0,0,3,2,0,2,3,2,0,0,0,0,0,3,2,2,33
33.Ch3,3,47,9,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,3,1,2,0,0,0,0,3,1,0,2,2,2,0,0,0,0,0,1,2,7,33
33.Ch4,3,47,9,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
34.Ch1,3,48,10,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,1,0,2,0,0,2,2,0,0,4,2,0,1,0,3,3,4,0,0,0,10,34
34.Ch2,3,48,10,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,2,0,2,0,0,2,3,0,0,2,2,0,1,0,3,2,1,0,0,0,2,34
34.Ch3,3,48,10,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,3,0,1,0,0,2,2,0,0,1,2,0,2,0,2,3,1,0,0,0,11,34
34.Ch4,3,48,10,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
35.Ch1,3,49,11,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,1,1,2,4,6,0,0,2,0,0,0,0,2,4,0,3,0,2,0,0,9,35
35.Ch2,3,49,11,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,2,1,1,4,1,0,0,2,0,0,0,0,2,4,0,1,0,4,0,0,1,35
35.Ch3,3,49,11,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,3,3,2,1,5,0,0,3,0,0,0,0,2,1,0,2,0,3,0,0,2,35
35.Ch4,3,49,11,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
36.Ch1,3,50,12,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,1,3,0,2,0,0,1,0,1,2,2,0,0,0,0,0,4,3,2,0,11,36
36.Ch2,3,50,12,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,2,1,0,2,0,0,1,0,2,4,1,0,0,0,0,0,1,4,2,0,1,36
36.Ch3,3,50,12,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,3,3,0,5,0,0,2,0,1,2,1,0,0,0,0,0,1,2,2,0,12,36
36.Ch4,3,50,12,Small Car,2002,175,5,0,45,4,SE,0,165000,0,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
37.Ch1,4,58,1,Small Car,2000,500,5,1,45,5,SE,2,85000,52,Ch3,1,3,2,0,0,2,0,3,0,1,0,3,0,0,0,1,2,0,0,2,11,37
37.Ch2,4,58,1,Small Car,2000,500,5,1,45,5,SE,2,85000,52,Ch3,2,3,2,0,0,1,0,3,0,2,0,1,0,0,0,3,3,0,0,1,12,37
37.Ch3,4,58,1,Small Car,2000,500,5,1,45,5,SE,2,85000,52,Ch3,3,1,2,0,0,2,0,1,0,3,0,3,0,0,0,2,4,0,0,2,7,37
37.Ch4,4,58,1,Small Car,2000,500,5,1,45,5,SE,2,85000,52,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
38.Ch1,4,59,2,Small Car,2000,500,5,1,45,5,SE,2,85000,52,Ch4,1,0,0,3,6,0,3,0,1,0,0,0,1,4,1,0,0,4,1,0,2,38
38.Ch2,4,59,2,Small Car,2000,500,5,1,45,5,SE,2,85000,52,Ch4,2,0,0,1,1,0,2,0,1,0,0,0,2,2,2,0,0,1,1,0,2,38
