"","Case","No","Task","segment","year","miles","night","gender","age","educ","region","Urb","income","ppark","Ch1","Ch2","Ch3","Ch4","Choice","alt","CC","GN","NS","BU","FA","LD","BZ","FC","FP","RP","PP","KA","SC","TS","NV","MA","LB","AF","HU","Price","chid"
"6.Ch3",1,18,18,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,3,2,1,3,2,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,12,6
"6.Ch4",1,18,18,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"7.Ch1",1,19,19,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,1,0,0,0,0,1,2,3,2,0,2,0,2,3,1,0,1,0,0,0,8,7
"7.Ch2",1,19,19,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,TRUE,2,0,0,0,0,1,1,1,1,0,2,0,2,4,3,0,1,0,0,0,2,7
"7.Ch3",1,19,19,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,3,0,0,0,0,1,2,3,1,0,2,0,2,2,2,0,3,0,0,0,3,7
"7.Ch4",1,19,19,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"8.Ch1",2,32,13,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,1,3,2,0,5,0,1,0,1,0,0,1,0,2,0,0,4,4,0,0,12,8
"8.Ch2",2,32,13,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,2,3,2,0,4,0,2,0,2,0,0,1,0,4,0,0,1,3,0,0,8,8
"8.Ch3",2,32,13,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,3,2,2,0,3,0,1,0,2,0,0,3,0,2,0,0,1,2,0,0,11,8
"8.Ch4",2,32,13,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"9.Ch1",2,33,14,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,1,0,0,0,0,0,1,0,1,4,0,3,0,1,2,1,0,0,2,1,6,9
"9.Ch2",2,33,14,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,2,0,0,0,0,0,3,0,2,2,0,2,0,4,1,1,0,0,3,2,8,9
"9.Ch3",2,33,14,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,3,0,0,0,0,0,3,0,1,4,0,1,0,4,3,1,0,0,1,2,6,9
"9.Ch4",2,33,14,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"10.Ch1",2,34,15,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,1,0,1,2,0,1,0,1,1,0,1,0,1,0,0,0,0,1,3,0,5,10
"10.Ch2",2,34,15,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,2,0,2,2,0,2,0,2,1,0,2,0,2,0,0,0,0,4,3,0,10,10
"10.Ch3",2,34,15,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,3,0,2,5,0,2,0,2,2,0,2,0,2,0,0,0,0,2,2,0,6,10
"10.Ch4",2,34,15,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"11.Ch1",2,35,16,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,1,0,1,2,0,2,0,0,0,3,2,2,0,1,0,2,2,0,0,0,3,11
"11.Ch2",2,35,16,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,2,0,2,5,0,2,0,0,0,4,2,3,0,3,0,3,3,0,0,0,3,11
"11.Ch3",2,35,16,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,3,0,1,5,0,1,0,0,0,3,1,2,0,4,0,1,4,0,0,0,10,11
"11.Ch4",2,35,16,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"12.Ch1",2,36,17,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,1,2,0,0,4,0,1,1,0,0,0,0,2,0,3,0,3,4,0,2,5,12
"12.Ch2",2,36,17,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,2,1,0,0,6,0,3,3,0,0,0,0,1,0,2,0,4,2,0,2,8,12
"12.Ch3",2,36,17,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,3,1,0,0,5,0,1,2,0,0,0,0,1,0,2,0,2,2,0,1,10,12
"12.Ch4",2,36,17,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"13.Ch1",2,37,18,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,1,0,0,0,TRUE,1,0,0,0,6,2,0,2,0,0,1,2,0,4,0,0,0,1,3,1,4,13
"13.Ch2",2,37,18,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,1,0,0,0,FALSE,2,0,0,0,6,2,0,3,0,0,1,2,0,1,0,0,0,4,3,2,12,13
"13.Ch3",2,37,18,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,1,0,0,0,FALSE,3,0,0,0,2,2,0,3,0,0,1,1,0,2,0,0,0,4,3,2,5,13
"13.Ch4",2,37,18,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,1,0,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"14.Ch1",2,38,19,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,1,1,1,5,0,0,3,0,2,1,0,0,2,0,3,3,0,0,0,0,6,14
"14.Ch2",2,38,19,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,2,1,2,1,0,0,3,0,2,2,0,0,1,0,1,3,0,0,0,0,2,14
"14.Ch3",2,38,19,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,FALSE,3,3,1,5,0,0,1,0,2,3,0,0,2,0,3,1,0,0,0,0,11,14
"14.Ch4",2,38,19,"Midsize Utility",2001,375,55,1,35,5,"W",2,215000,52,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"15.Ch1",3,51,13,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,1,0,FALSE,1,0,0,0,5,2,0,0,0,1,0,1,0,1,3,1,0,0,2,1,2,15
"15.Ch2",3,51,13,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,1,0,FALSE,2,0,0,0,3,2,0,0,0,3,0,1,0,2,1,3,0,0,3,2,7,15
"15.Ch3",3,51,13,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,1,0,TRUE,3,0,0,0,2,1,0,0,0,3,0,1,0,4,2,2,0,0,1,2,2,15
"15.Ch4",3,51,13,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"16.Ch1",3,52,14,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,1,0,0,FALSE,1,3,0,5,5,2,3,3,0,0,2,0,0,0,2,0,0,0,0,2,12,16
"16.Ch2",3,52,14,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,1,0,0,TRUE,2,1,0,4,4,1,1,1,0,0,2,0,0,0,1,0,0,0,0,1,1,16
"16.Ch3",3,52,14,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,1,0,0,FALSE,3,3,0,3,6,2,1,1,0,0,1,0,0,0,3,0,0,0,0,1,10,16
"16.Ch4",3,52,14,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"17.Ch1",3,53,15,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,0,1,FALSE,1,0,1,0,0,2,0,0,1,3,0,2,2,1,0,0,3,3,0,0,5,17
"17.Ch2",3,53,15,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,0,1,FALSE,2,0,2,0,0,1,0,0,1,1,0,3,1,1,0,0,1,4,0,0,10,17
"17.Ch3",3,53,15,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,0,1,FALSE,3,0,2,0,0,2,0,0,1,1,0,3,1,1,0,0,1,4,0,0,4,17
"17.Ch4",3,53,15,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"18.Ch1",3,54,16,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,1,0,0,0,TRUE,1,0,0,0,5,0,1,0,0,0,1,0,2,1,2,2,0,4,3,0,1,18
"18.Ch2",3,54,16,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,1,0,0,0,FALSE,2,0,0,0,3,0,3,0,0,0,1,0,2,4,3,2,0,1,1,0,7,18
"18.Ch3",3,54,16,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,1,0,0,0,FALSE,3,0,0,0,3,0,3,0,0,0,2,0,2,2,1,1,0,2,2,0,8,18
"18.Ch4",3,54,16,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,1,0,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"19.Ch1",3,55,17,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,1,0,FALSE,1,2,2,1,0,0,0,3,2,0,0,1,0,0,0,3,2,0,0,1,11,19
"19.Ch2",3,55,17,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,1,0,FALSE,2,2,2,4,0,0,0,1,2,0,0,1,0,0,0,3,1,0,0,2,5,19
"19.Ch3",3,55,17,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,1,0,TRUE,3,2,2,2,0,0,0,2,1,0,0,1,0,0,0,2,2,0,0,2,5,19
"19.Ch4",3,55,17,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"20.Ch1",3,56,18,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,1,0,0,FALSE,1,2,0,0,1,0,2,3,0,2,0,3,2,0,0,0,2,0,2,0,9,20
"20.Ch2",3,56,18,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,1,0,0,TRUE,2,3,0,0,1,0,1,1,0,1,0,3,1,0,0,0,2,0,3,0,9,20
"20.Ch3",3,56,18,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,1,0,0,FALSE,3,2,0,0,5,0,1,1,0,2,0,1,1,0,0,0,4,0,2,0,12,20
"20.Ch4",3,56,18,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"21.Ch1",3,57,19,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,0,1,FALSE,1,1,2,1,0,2,0,0,0,0,1,0,0,3,3,0,0,2,0,2,12,21
"21.Ch2",3,57,19,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,0,1,FALSE,2,1,2,5,0,2,0,0,0,0,1,0,0,2,3,0,0,1,0,1,4,21
"21.Ch3",3,57,19,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,0,1,FALSE,3,1,1,2,0,1,0,0,0,0,2,0,0,3,1,0,0,1,0,2,7,21
"21.Ch4",3,57,19,"Small Car",2002,175,5,0,45,4,"SE",0,165000,0,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"22.Ch1",4,70,13,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,0,1,0,FALSE,1,3,1,2,0,0,3,0,0,0,1,2,1,0,3,0,0,0,2,0,10,22
"22.Ch2",4,70,13,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,0,1,0,FALSE,2,2,2,5,0,0,3,0,0,0,1,1,1,0,3,0,0,0,3,0,5,22
"22.Ch3",4,70,13,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,0,1,0,TRUE,3,3,2,3,0,0,1,0,0,0,2,2,2,0,3,0,0,0,1,0,4,22
"22.Ch4",4,70,13,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"23.Ch1",4,71,14,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,FALSE,1,1,0,0,6,2,3,0,0,3,0,2,0,2,0,0,0,0,1,2,4,23
"23.Ch2",4,71,14,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,TRUE,2,1,0,0,6,2,3,0,0,2,0,2,0,1,0,0,0,0,3,1,2,23
"23.Ch3",4,71,14,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,FALSE,3,3,0,0,2,2,3,0,0,3,0,1,0,3,0,0,0,0,3,2,6,23
"23.Ch4",4,71,14,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"24.Ch1",4,72,15,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,FALSE,1,0,0,0,0,0,2,2,2,0,2,0,0,0,1,1,1,2,0,2,12,24
"24.Ch2",4,72,15,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,TRUE,2,0,0,0,0,0,1,1,1,0,2,0,0,0,1,2,3,3,0,2,3,24
"24.Ch3",4,72,15,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,FALSE,3,0,0,0,0,0,3,3,1,0,2,0,0,0,1,2,3,4,0,2,2,24
"24.Ch4",4,72,15,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"25.Ch1",4,73,16,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,FALSE,1,3,0,2,6,2,0,2,0,0,0,1,0,0,3,1,0,4,0,0,12,25
"25.Ch2",4,73,16,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,TRUE,2,3,0,5,5,2,0,3,0,0,0,2,0,0,2,2,0,3,0,0,7,25
"25.Ch3",4,73,16,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,FALSE,3,3,0,3,6,1,0,1,0,0,0,3,0,0,2,2,0,1,0,0,6,25
"25.Ch4",4,73,16,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"26.Ch1",4,74,17,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,FALSE,1,0,2,0,4,0,0,0,2,2,2,0,2,2,0,0,4,0,1,0,6,26
"26.Ch2",4,74,17,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,TRUE,2,0,1,0,6,0,0,0,2,4,1,0,2,3,0,0,4,0,1,0,4,26
"26.Ch3",4,74,17,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,FALSE,3,0,1,0,4,0,0,0,2,3,2,0,2,3,0,0,2,0,3,0,11,26
"26.Ch4",4,74,17,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"27.Ch1",4,75,18,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,0,1,0,FALSE,1,0,2,2,0,2,3,0,2,0,1,2,0,2,0,0,4,0,0,0,10,27
"27.Ch2",4,75,18,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,0,1,0,FALSE,2,0,1,1,0,2,2,0,1,0,2,1,0,4,0,0,4,0,0,0,7,27
"27.Ch3",4,75,18,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,0,1,0,TRUE,3,0,1,4,0,1,2,0,2,0,1,1,0,2,0,0,1,0,0,0,2,27
"27.Ch4",4,75,18,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"28.Ch1",4,76,19,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,0,1,0,FALSE,1,1,0,0,0,0,0,1,0,4,0,0,1,0,2,3,0,1,1,2,3,28
"28.Ch2",4,76,19,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,0,1,0,FALSE,2,3,0,0,0,0,0,2,0,2,0,0,2,0,3,1,0,4,2,1,10,28
"28.Ch3",4,76,19,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,0,1,0,TRUE,3,3,0,0,0,0,0,1,0,4,0,0,1,0,3,1,0,3,1,1,2,28
"28.Ch4",4,76,19,"Small Car",2000,500,5,1,45,5,"SE",2,85000,52,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"29.Ch1",5,89,13,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,1,0,0,0,TRUE,1,0,0,0,0,1,2,2,0,1,2,2,2,0,0,0,0,1,2,0,7,29
"29.Ch2",5,89,13,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,1,0,0,0,FALSE,2,0,0,0,0,2,3,2,0,3,1,2,1,0,0,0,0,2,3,0,12,29
"29.Ch3",5,89,13,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,1,0,0,0,FALSE,3,0,0,0,0,1,3,2,0,4,1,3,1,0,0,0,0,4,1,0,11,29
"29.Ch4",5,89,13,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,1,0,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"30.Ch1",5,90,14,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,1,0,0,FALSE,1,0,0,4,1,0,0,0,1,3,0,1,2,4,1,0,0,4,0,0,7,30
"30.Ch2",5,90,14,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,1,0,0,TRUE,2,0,0,1,1,0,0,0,2,2,0,1,1,3,2,0,0,3,0,0,4,30
"30.Ch3",5,90,14,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,1,0,0,FALSE,3,0,0,1,5,0,0,0,1,2,0,2,1,3,2,0,0,4,0,0,4,30
"30.Ch4",5,90,14,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"31.Ch1",5,91,15,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,1,0,0,FALSE,1,2,1,5,0,0,0,3,0,0,0,0,1,0,0,2,2,0,3,1,6,31
"31.Ch2",5,91,15,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,1,0,0,TRUE,2,2,2,3,0,0,0,1,0,0,0,0,1,0,0,2,3,0,1,1,5,31
"31.Ch3",5,91,15,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,1,0,0,FALSE,3,1,2,5,0,0,0,1,0,0,0,0,2,0,0,3,3,0,1,1,12,31
"31.Ch4",5,91,15,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"32.Ch1",5,92,16,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,1,0,0,FALSE,1,2,2,0,5,1,1,2,0,4,0,0,0,0,2,0,2,0,0,0,12,32
"32.Ch2",5,92,16,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,1,0,0,TRUE,2,2,1,0,2,2,3,1,0,4,0,0,0,0,1,0,4,0,0,0,7,32
"32.Ch3",5,92,16,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,1,0,0,FALSE,3,2,2,0,4,1,2,3,0,4,0,0,0,0,2,0,4,0,0,0,12,32
"32.Ch4",5,92,16,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"33.Ch1",5,93,17,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,0,1,0,FALSE,1,0,0,0,0,0,0,0,2,0,2,3,0,4,0,3,4,1,3,2,11,33
"33.Ch2",5,93,17,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,0,1,0,FALSE,2,0,0,0,0,0,0,0,1,0,2,3,0,4,0,1,4,2,3,2,3,33
"33.Ch3",5,93,17,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,0,1,0,TRUE,3,0,0,0,0,0,0,0,1,0,1,1,0,3,0,2,4,1,1,1,3,33
"33.Ch4",5,93,17,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"34.Ch1",5,94,18,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,1,0,0,0,TRUE,1,0,0,2,0,0,2,2,2,2,0,0,0,3,2,1,0,0,3,0,1,34
"34.Ch2",5,94,18,"Full-size Pickup",2005,25,15,1,55,3,"MW",2,250000,0,1,0,0,0,FALSE,2,0,0,3,0,0,1,2,1,3,0,0,0,4,2,1,0,0,1,0,6,34
