No,CC,GN,NS,BU,FA,LD,BZ,FC,FP,RP,PP,KA,SC,TS,NV,MA,LB,AF,HU,Price,Choice
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,1,1,0,0,2,1,0,0,0,2,0,1,0,2,1,0,0,0,1,4,0
90,3,2,0,0,2,1,0,0,0,2,0,2,0,2,1,0,0,0,1,1,0
91,2,2,0,0,2,3,0,0,0,1,0,2,0,2,1,0,0,0,2,3,1
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,3,0,1,1,0,0,2,2,4,2,0,0,0,3,0,0,2,0,0,11,0
94,1,0,5,6,0,0,1,1,4,2,0,0,0,3,0,0,2,0,0,3,0
95,3,0,2,3,0,0,2,1,2,2,0,0,0,3,0,0,4,0,0,8,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,0,2,0,0,1,0,0,2,0,0,1,2,2,0,2,0,4,0,2,5,0
98,0,1,0,0,2,0,0,1,0,0,3,2,1,0,2,0,4,0,2,9,0
99,0,1,0,0,1,0,0,2,0,0,2,1,4,0,1,0,4,0,1,2,1
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,1,0,0,1,1,0,0,4,0,0,0,0,1,0,3,2,2,1,7,0
102,0,2,0,0,2,3,0,0,3,0,0,0,0,1,0,1,4,2,2,4,0
103,0,2,0,0,2,1,0,0,4,0,0,0,0,2,0,4,1,2,2,1,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,3,0,0,4,0,0,0,1,0,1,2,1,3,0,0,1,0,1,0,4,1
106,3,0,0,2,0,0,0,1,0,1,2,1,4,0,0,1,0,2,0,7,0
107,3,0,0,1,0,0,0,2,0,2,1,2,2,0,0,2,0,2,0,2,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,5,0,0,3,1,0,2,1,0,1,3,0,1,0,3,0,0,8,0
110,0,0,2,0,0,3,2,0,1,1,0,1,3,0,2,0,1,0,0,8,0
111,0,0,1,0,0,1,1,0,2,2,0,1,4,0,3,0,1,0,0,3,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,0,0,0,2,1,3,2,1,0,0,3,0,0,3,3,0,0,1,0,11,0
114,0,0,0,6,1,2,2,1,0,0,2,0,0,3,3,0,0,3,0,3,0
115,0,0,0,6,1,3,1,1,0,0,2,0,0,3,1,0,0,1,0,7,1
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2,2,2,0,0,0,3,0,0,2,0,0,0,1,0,3,0,1,2,2,0
118,2,2,5,0,0,0,2,0,0,1,0,0,0,3,0,3,0,3,1,8,0
119,3,1,3,0,0,0,2,0,0,2,0,0,0,2,0,1,0,3,2,10,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,3,0,2,1,2,0,0,0,2,0,0,2,0,0,3,3,0,0,1,9,0
122,1,0,1,2,2,0,0,0,2,0,0,2,0,0,3,4,0,0,1,6,0
123,1,0,4,6,1,0,0,0,4,0,0,2,0,0,1,3,0,0,2,4,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,3,2,0,5,0,1,0,1,0,0,1,0,2,0,0,4,4,0,0,12,0
126,3,2,0,4,0,2,0,2,0,0,1,0,4,0,0,1,3,0,0,8,0
127,2,2,0,3,0,1,0,2,0,0,3,0,2,0,0,1,2,0,0,11,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,0,0,0,0,0,1,0,1,4,0,3,0,1,2,1,0,0,2,1,6,0
130,0,0,0,0,0,3,0,2,2,0,2,0,4,1,1,0,0,3,2,8,0
131,0,0,0,0,0,3,0,1,4,0,1,0,4,3,1,0,0,1,2,6,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,0,1,2,0,1,0,1,1,0,1,0,1,0,0,0,0,1,3,0,5,0
134,0,2,2,0,2,0,2,1,0,2,0,2,0,0,0,0,4,3,0,10,0
135,0,2,5,0,2,0,2,2,0,2,0,2,0,0,0,0,2,2,0,6,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,0,1,2,0,2,0,0,0,3,2,2,0,1,0,2,2,0,0,0,3,0
138,0,2,5,0,2,0,0,0,4,2,3,0,3,0,3,3,0,0,0,3,0
139,0,1,5,0,1,0,0,0,3,1,2,0,4,0,1,4,0,0,0,10,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,2,0,0,4,0,1,1,0,0,0,0,2,0,3,0,3,4,0,2,5,0
142,1,0,0,6,0,3,3,0,0,0,0,1,0,2,0,4,2,0,2,8,0
143,1,0,0,5,0,1,2,0,0,0,0,1,0,2,0,2,2,0,1,10,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,0,0,0,6,2,0,2,0,0,1,2,0,4,0,0,0,1,3,1,4,1
146,0,0,0,6,2,0,3,0,0,1,2,0,1,0,0,0,4,3,2,12,0
147,0,0,0,2,2,0,3,0,0,1,1,0,2,0,0,0,4,3,2,5,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1,1,5,0,0,3,0,2,1,0,0,2,0,3,3,0,0,0,0,6,0
150,1,2,1,0,0,3,0,2,2,0,0,1,0,1,3,0,0,0,0,2,0
151,3,1,5,0,0,1,0,2,3,0,0,2,0,3,1,0,0,0,0,11,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,0,0,5,0,2,2,2,2,0,0,3,1,3,2,0,0,0,0,0,9,0
154,0,0,1,0,1,3,2,1,0,0,1,2,4,2,0,0,0,0,0,7,1
155,0,0,3,0,1,1,3,1,0,0,1,1,2,3,0,0,0,0,0,3,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,2,0,5,0,0,2,0,4,1,0,0,0,0,1,3,0,1,2,7,0
158,0,2,0,2,0,0,2,0,4,1,0,0,0,0,1,4,0,1,2,12,1
159,0,1,0,1,0,0,1,0,3,1,0,0,0,0,3,1,0,3,2,11,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,2,0,2,0,2,2,1,2,2,0,0,4,0,0,0,4,0,0,10,1
162,0,2,0,6,0,2,1,1,2,2,0,0,3,0,0,0,1,0,0,10,0
163,0,1,0,1,0,3,1,2,1,1,0,0,1,0,0,0,4,0,0,6,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,3,0,2,0,0,0,0,0,0,1,0,2,2,2,3,1,1,2,0
166,0,0,3,0,1,0,0,0,0,0,0,1,0,3,1,1,4,2,2,10,0
167,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,2,1,3,1,7,1
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,3,0,0,3,2,0,0,1,4,0,2,1,0,0,0,0,2,0,1,4,1
170,3,0,0,2,1,0,0,1,4,0,3,1,0,0,0,0,2,0,2,9,0
171,2,0,0,1,2,0,0,2,3,0,3,1,0,0,0,0,2,0,2,11,0
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,3,2,1,0,0,0,0,0,0,1,1,0,3,3,0,4,0,3,0,11,0
174,1,1,5,0,0,0,0,0,0,1,1,0,1,2,0,4,0,2,0,8,0
175,3,2,4,0,0,0,0,0,0,2,1,0,4,3,0,3,0,1,0,3,1
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,2,3,0,0,0,1,0,3,1,2,2,1,0,2,11,0
178,0,0,0,0,0,3,2,0,0,0,2,0,2,3,1,2,4,0,1,8,0
179,0,0,0,0,0,3,2,0,0,0,1,0,4,1,2,3,3,0,2,5,1
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,3,3,2,2,3,2,4,0,0,0,0,0,1,0,0,3,0,7,0
182,0,0,4,5,2,2,2,1,2,0,0,0,0,0,1,0,0,1,0,9,1
183,0,0,5,6,1,1,3,2,3,0,0,0,0,0,2,0,0,2,0,7,0
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,1,1,0,0,0,0,3,2,0,1,2,2,0,0,0,0,0,2,2,2,1
186,2,2,0,0,0,0,3,2,0,2,3,2,0,0,0,0,0,3,2,2,0
187,1,2,0,0,0,0,3,1,0,2,2,2,0,0,0,0,0,1,2,7,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,2,0,0,2,2,0,0,4,2,0,1,0,3,3,4,0,0,0,10,1
190,0,2,0,0,2,3,0,0,2,2,0,1,0,3,2,1,0,0,0,2,0
191,0,1,0,0,2,2,0,0,1,2,0,2,0,2,3,1,0,0,0,11,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,1,2,4,6,0,0,2,0,0,0,0,2,4,0,3,0,2,0,0,9,0
194,1,1,4,1,0,0,2,0,0,0,0,2,4,0,1,0,4,0,0,1,1
195,3,2,1,5,0,0,3,0,0,0,0,2,1,0,2,0,3,0,0,2,0
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,3,0,2,0,0,1,0,1,2,2,0,0,0,0,0,4,3,2,0,11,0
198,1,0,2,0,0,1,0,2,4,1,0,0,0,0,0,1,4,2,0,1,1
199,3,0,5,0,0,2,0,1,2,1,0,0,0,0,0,1,2,2,0,12,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,5,2,0,0,0,1,0,1,0,1,3,1,0,0,2,1,2,0
202,0,0,0,3,2,0,0,0,3,0,1,0,2,1,3,0,0,3,2,7,0
203,0,0,0,2,1,0,0,0,3,0,1,0,4,2,2,0,0,1,2,2,1
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,3,0,5,5,2,3,3,0,0,2,0,0,0,2,0,0,0,0,2,12,0
206,1,0,4,4,1,1,1,0,0,2,0,0,0,1,0,0,0,0,1,1,1
207,3,0,3,6,2,1,1,0,0,1,0,0,0,3,0,0,0,0,1,10,0
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,1,0,0,2,0,0,1,3,0,2,2,1,0,0,3,3,0,0,5,0
210,0,2,0,0,1,0,0,1,1,0,3,1,1,0,0,1,4,0,0,10,0
211,0,2,0,0,2,0,0,1,1,0,3,1,1,0,0,1,4,0,0,4,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
213,0,0,0,5,0,1,0,0,0,1,0,2,1,2,2,0,4,3,0,1,1
214,0,0,0,3,0,3,0,0,0,1,0,2,4,3,2,0,1,1,0,7,0
215,0,0,0,3,0,3,0,0,0,2,0,2,2,1,1,0,2,2,0,8,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,2,2,1,0,0,0,3,2,0,0,1,0,0,0,3,2,0,0,1,11,0
218,2,2,4,0,0,0,1,2,0,0,1,0,0,0,3,1,0,0,2,5,0
219,2,2,2,0,0,0,2,1,0,0,1,0,0,0,2,2,0,0,2,5,1
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2,0,0,1,0,2,3,0,2,0,3,2,0,0,0,2,0,2,0,9,0
222,3,0,0,1,0,1,1,0,1,0,3,1,0,0,0,2,0,3,0,9,1
223,2,0,0,5,0,1,1,0,2,0,1,1,0,0,0,4,0,2,0,12,0
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,1,2,1,0,2,0,0,0,0,1,0,0,3,3,0,0,2,0,2,12,0
226,1,2,5,0,2,0,0,0,0,1,0,0,2,3,0,0,1,0,1,4,0
227,1,1,2,0,1,0,0,0,0,2,0,0,3,1,0,0,1,0,2,7,0
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
229,3,2,0,0,2,0,3,0,1,0,3,0,0,0,1,2,0,0,2,11,0
230,3,2,0,0,1,0,3,0,2,0,1,0,0,0,3,3,0,0,1,12,0
231,1,2,0,0,2,0,1,0,3,0,3,0,0,0,2,4,0,0,2,7,1
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,0,0,3,6,0,3,0,1,0,0,0,1,4,1,0,0,4,1,0,2,0
234,0,0,1,1,0,2,0,1,0,0,0,2,2,2,0,0,1,1,0,2,0
235,0,0,4,1,0,1,0,1,0,0,0,1,2,2,0,0,3,3,0,10,0
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
237,1,2,0,4,1,2,0,0,0,1,0,1,0,0,0,1,3,0,0,12,0
238,3,2,0,1,2,1,0,0,0,1,0,1,0,0,0,1,1,0,0,9,1
239,3,2,0,2,1,1,0,0,0,2,0,1,0,0,0,2,4,0,0,8,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,0,0,2,0,0,0,3,1,3,1,0,0,1,3,0,0,0,3,1,4,0
242,0,0,3,0,0,0,3,1,1,2,0,0,1,3,0,0,0,1,1,4,1
243,0,0,3,0,0,0,3,1,2,2,0,0,2,3,0,0,0,3,1,3,0
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,0,1,0,1,1,0,1,0,0,1,2,0,4,0,2,0,0,2,0,7,0
246,0,1,0,1,1,0,3,0,0,1,2,0,2,0,1,0,0,3,0,5,0
247,0,2,0,3,1,0,1,0,0,2,1,0,2,0,1,0,0,2,0,3,1
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,3,0,0,0,0,0,0,1,4,0,1,1,0,1,0,4,4,0,1,10,0
250,1,0,0,0,0,0,0,2,1,0,2,1,0,3,0,3,3,0,1,10,0
251,1,0,0,0,0,0,0,1,4,0,2,1,0,2,0,1,1,0,2,11,0
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
253,0,2,3,1,2,2,0,2,0,0,0,0,0,3,2,0,0,0,1,7,0
254,0,1,2,6,2,2,0,1,0,0,0,0,0,3,3,0,0,0,1,3,1
255,0,2,2,3,1,1,0,2,0,0,0,0,0,2,3,0,0,0,1,5,0
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,3,0,2,0,0,1,0,0,4,2,1,0,2,0,2,0,2,0,0,7,0
258,3,0,1,0,0,3,0,0,3,2,2,0,3,0,3,0,2,0,0,10,0
259,3,0,1,0,0,2,0,0,3,2,1,0,3,0,2,0,3,0,0,4,1
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,1,0,2,0,2,0,1,1,0,0,0,2,4,0,0,4,0,1,0,11,0
262,2,0,1,0,1,0,1,1,0,0,0,1,4,0,0,1,0,1,0,9,0
263,2,0,4,0,2,0,1,2,0,0,0,1,1,0,0,1,0,2,0,9,0
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
265,0,1,0,0,0,1,3,0,0,0,1,1,0,0,2,0,3,3,1,1,1
266,0,2,0,0,0,3,1,0,0,0,2,2,0,0,2,0,4,3,1,10,0
267,0,1,0,0,0,3,3,0,0,0,3,1,0,0,3,0,2,3,1,8,0
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,1,2,0,1,2,2,2,0,0,0,2,0,2,4,0,0,1,1
270,0,0,0,3,1,0,3,1,3,2,0,0,0,3,0,3,4,0,0,3,0
271,0,0,0,1,1,0,1,2,3,1,0,0,0,2,0,3,4,0,0,5,0
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0,1,5,1,0,0,0,0,3,0,0,2,3,0,3,1,0,0,2,12,0
274,0,1,3,3,0,0,0,0,2,0,0,2,2,0,2,4,0,0,1,1,0
275,0,2,4,3,0,0,0,0,1,0,0,1,1,0,1,3,0,0,2,4,1
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,3,1,2,0,0,3,0,0,0,1,2,1,0,3,0,0,0,2,0,10,0
278,2,2,5,0,0,3,0,0,0,1,1,1,0,3,0,0,0,3,0,5,0
279,3,2,3,0,0,1,0,0,0,2,2,2,0,3,0,0,0,1,0,4,1
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,1,0,0,6,2,3,0,0,3,0,2,0,2,0,0,0,0,1,2,4,0
282,1,0,0,6,2,3,0,0,2,0,2,0,1,0,0,0,0,3,1,2,1
283,3,0,0,2,2,3,0,0,3,0,1,0,3,0,0,0,0,3,2,6,0
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,2,2,2,0,2,0,0,0,1,1,1,2,0,2,12,0
286,0,0,0,0,0,1,1,1,0,2,0,0,0,1,2,3,3,0,2,3,1
287,0,0,0,0,0,3,3,1,0,2,0,0,0,1,2,3,4,0,2,2,0
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,3,0,2,6,2,0,2,0,0,0,1,0,0,3,1,0,4,0,0,12,0
290,3,0,5,5,2,0,3,0,0,0,2,0,0,2,2,0,3,0,0,7,1
291,3,0,3,6,1,0,1,0,0,0,3,0,0,2,2,0,1,0,0,6,0
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,2,0,4,0,0,0,2,2,2,0,2,2,0,0,4,0,1,0,6,0
294,0,1,0,6,0,0,0,2,4,1,0,2,3,0,0,4,0,1,0,4,1
295,0,1,0,4,0,0,0,2,3,2,0,2,3,0,0,2,0,3,0,11,0
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,0,2,2,0,2,3,0,2,0,1,2,0,2,0,0,4,0,0,0,10,0
298,0,1,1,0,2,2,0,1,0,2,1,0,4,0,0,4,0,0,0,7,0
299,0,1,4,0,1,2,0,2,0,1,1,0,2,0,0,1,0,0,0,2,1
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1,0,0,0,0,0,1,0,4,0,0,1,0,2,3,0,1,1,2,3,0
302,3,0,0,0,0,0,2,0,2,0,0,2,0,3,1,0,4,2,1,10,0
303,3,0,0,0,0,0,1,0,4,0,0,1,0,3,1,0,3,1,1,2,1
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,2,2,0,2,0,0,2,1,0,0,0,0,0,3,0,4,3,1,11,0
306,0,1,3,0,2,0,0,2,3,0,0,0,0,0,3,0,4,2,2,12,0
307,0,2,3,0,2,0,0,2,1,0,0,0,0,0,1,0,1,2,1,7,1
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,1,0,0,0,0,2,2,0,0,2,2,2,3,2,0,4,0,0,0,6,1
310,1,0,0,0,0,2,3,0,0,2,3,1,4,3,0,2,0,0,0,5,0
311,3,0,0,0,0,1,1,0,0,2,2,2,3,1,0,4,0,0,0,2,0
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,2,1,1,4,0,0,3,0,0,2,0,0,3,0,0,0,4,0,2,10,1
314,3,2,1,6,0,0,2,0,0,1,0,0,4,0,0,0,3,0,2,12,0
315,3,1,1,3,0,0,1,0,0,2,0,0,4,0,0,0,1,0,1,6,0
